,area_type,location,total_sqft,bath,balcony,price,bhk
175,Super built-up  Area,7th Phase JP Nagar,1976.0,3.0,1.0,145.0,3
176,Super built-up  Area,7th Phase JP Nagar,1600.0,2.0,2.0,110.0,3
177,Super built-up  Area,7th Phase JP Nagar,1765.0,3.0,2.0,118.0,3
178,Built-up  Area,7th Phase JP Nagar,1275.0,2.0,2.0,88.0,3
179,Super built-up  Area,7th Phase JP Nagar,1450.0,2.0,1.0,102.0,3
180,Super built-up  Area,7th Phase JP Nagar,1575.0,2.0,2.0,110.0,3
182,Super built-up  Area,7th Phase JP Nagar,750.0,1.0,2.0,47.0,1
183,Super built-up  Area,7th Phase JP Nagar,990.0,2.0,2.0,50.0,2
184,Plot  Area,7th Phase JP Nagar,1000.0,1.0,1.0,60.0,1
186,Super built-up  Area,7th Phase JP Nagar,1430.0,2.0,1.0,102.0,3
187,Super built-up  Area,7th Phase JP Nagar,1128.0,2.0,1.0,60.0,2
188,Built-up  Area,7th Phase JP Nagar,1140.0,2.0,1.0,57.0,2
189,Super built-up  Area,7th Phase JP Nagar,1420.0,3.0,2.0,90.0,3
190,Super built-up  Area,7th Phase JP Nagar,1530.0,2.0,1.0,108.0,2
191,Super built-up  Area,8th Phase JP Nagar,451.0,1.0,0.0,29.9,1
193,Super built-up  Area,8th Phase JP Nagar,1062.0,2.0,1.0,42.47,2
195,Super built-up  Area,8th Phase JP Nagar,1455.0,3.0,2.0,73.31,3
196,Super built-up  Area,8th Phase JP Nagar,871.0,2.0,2.0,55.0,2
197,Super built-up  Area,8th Phase JP Nagar,1098.0,2.0,1.0,43.91,2
198,Super built-up  Area,8th Phase JP Nagar,1800.0,3.0,1.0,80.0,3
199,Built-up  Area,8th Phase JP Nagar,2700.0,4.0,2.0,130.0,4
200,Super built-up  Area,8th Phase JP Nagar,1080.0,2.0,2.0,38.0,2
201,Super built-up  Area,8th Phase JP Nagar,1059.0,2.0,2.0,34.5,2
202,Super built-up  Area,8th Phase JP Nagar,1080.0,2.0,2.0,35.0,2
204,Super built-up  Area,8th Phase JP Nagar,1062.0,2.0,1.0,42.47,2
205,Super built-up  Area,8th Phase JP Nagar,500.0,1.0,1.0,31.0,1
206,Super built-up  Area,8th Phase JP Nagar,1100.0,2.0,2.0,35.0,2
207,Super built-up  Area,8th Phase JP Nagar,2100.0,4.0,3.0,92.0,4
208,Super built-up  Area,8th Phase JP Nagar,1035.0,2.0,1.0,39.33,2
209,Super built-up  Area,8th Phase JP Nagar,909.0,2.0,1.0,40.9,2
210,Built-up  Area,8th Phase JP Nagar,1900.0,4.0,1.0,90.0,3
211,Super built-up  Area,8th Phase JP Nagar,500.0,1.0,1.0,30.0,1
212,Super built-up  Area,8th Phase JP Nagar,1125.0,2.0,2.0,36.94,2
213,Super built-up  Area,8th Phase JP Nagar,1100.0,2.0,3.0,35.0,2
214,Super built-up  Area,8th Phase JP Nagar,1089.0,2.0,1.0,43.55,2
216,Super built-up  Area,8th Phase JP Nagar,1504.0,2.0,2.0,83.0,3
217,Built-up  Area,8th Phase JP Nagar,2600.0,4.0,2.0,115.0,4
219,Super built-up  Area,8th Phase JP Nagar,1089.0,2.0,1.0,43.55,2
221,Super built-up  Area,8th Phase JP Nagar,1513.0,2.0,3.0,62.0,2
222,Built-up  Area,8th Phase JP Nagar,1298.0,2.0,1.0,59.0,2
223,Built-up  Area,8th Phase JP Nagar,1006.0,2.0,0.0,44.0,2
224,Carpet  Area,8th Phase JP Nagar,500.0,1.0,1.0,33.0,1
225,Super built-up  Area,8th Phase JP Nagar,1160.0,2.0,1.0,95.0,2
226,Super built-up  Area,8th Phase JP Nagar,1245.0,2.0,1.0,59.0,2
227,Super built-up  Area,8th Phase JP Nagar,1510.0,2.0,3.0,80.0,2
228,Super built-up  Area,8th Phase JP Nagar,3300.0,3.0,2.0,165.0,3
229,Built-up  Area,8th Phase JP Nagar,1730.0,5.0,2.0,75.0,5
232,Super built-up  Area,8th Phase JP Nagar,1046.0,2.0,1.0,48.0,2
234,Super built-up  Area,8th Phase JP Nagar,1408.0,3.0,2.0,80.0,3
236,Super built-up  Area,9th Phase JP Nagar,1005.0,2.0,1.0,50.0,2
238,Super built-up  Area,9th Phase JP Nagar,1100.0,2.0,1.0,65.0,2
239,Super built-up  Area,9th Phase JP Nagar,1080.0,2.0,2.0,37.0,2
240,Built-up  Area,9th Phase JP Nagar,1035.0,2.0,1.0,45.0,2
241,Built-up  Area,9th Phase JP Nagar,5000.0,4.0,3.0,290.0,4
242,Built-up  Area,9th Phase JP Nagar,1164.0,2.0,1.0,56.0,2
243,Super built-up  Area,9th Phase JP Nagar,1005.0,2.0,1.0,42.0,2
244,Super built-up  Area,9th Phase JP Nagar,1127.0,2.0,1.0,50.0,2
245,Super built-up  Area,9th Phase JP Nagar,1005.0,2.0,1.0,43.0,2
246,Built-up  Area,9th Phase JP Nagar,835.0,2.0,0.0,37.0,2
247,Super built-up  Area,9th Phase JP Nagar,1050.0,2.0,2.0,39.0,2
248,Super built-up  Area,9th Phase JP Nagar,660.0,2.0,0.0,27.0,2
249,Built-up  Area,9th Phase JP Nagar,600.0,1.0,0.0,20.0,1
250,Super built-up  Area,9th Phase JP Nagar,1466.0,2.0,2.0,71.0,2
251,Built-up  Area,9th Phase JP Nagar,1890.0,2.0,2.0,93.0,3
252,Super built-up  Area,9th Phase JP Nagar,1079.0,2.0,1.0,60.0,2
253,Super built-up  Area,9th Phase JP Nagar,1480.0,2.0,1.0,80.0,2
254,Plot  Area,9th Phase JP Nagar,1200.0,2.0,0.0,80.0,2
255,Super built-up  Area,9th Phase JP Nagar,905.0,2.0,1.0,32.0,2
256,Super built-up  Area,9th Phase JP Nagar,1073.0,2.0,1.0,52.36,2
257,Super built-up  Area,9th Phase JP Nagar,1719.3,2.0,2.0,88.0,3
258,Super built-up  Area,9th Phase JP Nagar,1780.0,3.0,2.0,88.0,3
260,Super built-up  Area,9th Phase JP Nagar,1522.0,3.0,2.0,90.0,3
263,Built-up  Area,9th Phase JP Nagar,890.0,2.0,2.0,45.0,2
265,Built-up  Area,9th Phase JP Nagar,5000.0,4.0,2.0,300.0,4
267,Super built-up  Area,9th Phase JP Nagar,1050.0,2.0,2.0,35.0,2
268,Super built-up  Area,9th Phase JP Nagar,1331.95,2.0,2.0,69.0,2
269,Super built-up  Area,AECS Layout,1100.0,2.0,3.0,45.0,2
270,Super built-up  Area,AECS Layout,1028.0,2.0,1.0,42.0,2
271,Super built-up  Area,AECS Layout,1199.0,2.0,2.0,65.0,2
272,Super built-up  Area,AECS Layout,1080.0,2.0,2.0,55.0,2
273,Super built-up  Area,AECS Layout,1123.0,2.0,2.0,64.0,2
274,Super built-up  Area,AECS Layout,1308.0,2.0,1.0,60.0,2
275,Super built-up  Area,AECS Layout,1005.0,2.0,1.0,55.0,2
277,Super built-up  Area,Abbigere,985.0,2.0,1.0,40.39,2
278,Built-up  Area,Abbigere,2200.0,6.0,2.0,68.0,6
279,Super built-up  Area,Abbigere,765.0,2.0,2.0,30.0,1
280,Super built-up  Area,Abbigere,880.0,2.0,1.0,35.0,2
281,Super built-up  Area,Abbigere,795.0,2.0,1.0,32.54,2
282,Super built-up  Area,Abbigere,1005.0,2.0,1.0,39.59,2
283,Super built-up  Area,Abbigere,734.0,1.0,0.0,19.82,1
285,Super built-up  Area,Abbigere,1020.0,2.0,1.0,41.82,2
286,Super built-up  Area,Abbigere,985.0,2.0,1.0,40.39,2
287,Built-up  Area,Abbigere,2500.0,6.0,0.0,81.0,6
288,Super built-up  Area,Abbigere,795.0,2.0,1.0,32.54,2
289,Super built-up  Area,Abbigere,1130.0,2.0,1.0,46.33,2
290,Super built-up  Area,Abbigere,795.0,1.0,1.0,32.6,2
291,Built-up  Area,Abbigere,3000.0,8.0,0.0,150.0,8
292,Super built-up  Area,Abbigere,985.0,2.0,1.0,38.92,2
293,Super built-up  Area,Abbigere,1000.0,2.0,1.0,41.0,2
294,Super built-up  Area,Abbigere,995.0,2.0,1.0,40.8,2
295,Super built-up  Area,Abbigere,1020.0,2.0,1.0,40.8,2
296,Super built-up  Area,Akshaya Nagar,1388.0,2.0,3.0,57.0,2
297,Super built-up  Area,Akshaya Nagar,1070.0,2.0,1.0,54.0,2
298,Built-up  Area,Akshaya Nagar,1280.0,2.0,2.0,58.0,2
299,Built-up  Area,Akshaya Nagar,1662.0,3.0,3.0,85.1,3
300,Super built-up  Area,Akshaya Nagar,1897.0,3.0,2.0,120.0,3
301,Super built-up  Area,Akshaya Nagar,1410.0,2.0,2.0,75.0,3
302,Super built-up  Area,Akshaya Nagar,1360.0,2.0,2.0,85.0,3
304,Super built-up  Area,Akshaya Nagar,1410.0,2.0,2.0,80.0,3
305,Built-up  Area,Akshaya Nagar,1662.0,3.0,2.0,85.0,3
306,Built-up  Area,Akshaya Nagar,1662.0,3.0,2.0,85.5,3
307,Built-up  Area,Akshaya Nagar,1280.0,2.0,1.0,60.0,2
308,Built-up  Area,Akshaya Nagar,1666.0,3.0,2.0,95.0,3
309,Super built-up  Area,Akshaya Nagar,1575.0,3.0,2.0,90.0,3
310,Super built-up  Area,Akshaya Nagar,1430.0,2.0,2.0,75.0,3
311,Built-up  Area,Akshaya Nagar,1419.0,2.0,3.0,73.0,3
312,Super built-up  Area,Akshaya Nagar,1280.0,2.0,1.0,60.0,2
313,Super built-up  Area,Akshaya Nagar,1200.0,2.0,1.0,50.0,2
314,Super built-up  Area,Akshaya Nagar,1092.0,2.0,1.0,60.0,2
315,Super built-up  Area,Akshaya Nagar,1690.0,3.0,2.0,85.0,3
317,Super built-up  Area,Akshaya Nagar,1897.0,4.0,2.0,93.0,3
318,Super built-up  Area,Akshaya Nagar,1884.0,3.0,3.0,98.0,3
319,Super built-up  Area,Akshaya Nagar,1314.0,2.0,2.0,68.8,2
320,Super built-up  Area,Akshaya Nagar,1690.0,3.0,2.0,85.0,3
321,Super built-up  Area,Akshaya Nagar,1265.0,2.0,3.0,67.0,2
322,Super built-up  Area,Akshaya Nagar,1126.0,2.0,1.0,55.0,2
324,Super built-up  Area,Akshaya Nagar,1662.0,3.0,2.0,90.0,3
325,Super built-up  Area,Akshaya Nagar,1420.0,2.0,2.0,75.0,3
326,Super built-up  Area,Akshaya Nagar,1412.0,2.0,3.0,88.0,3
327,Built-up  Area,Akshaya Nagar,1434.0,3.0,3.0,84.0,3
328,Super built-up  Area,Akshaya Nagar,1890.0,4.0,2.0,100.0,3
330,Super built-up  Area,Akshaya Nagar,1419.0,2.0,3.0,87.0,3
331,Super built-up  Area,Akshaya Nagar,1300.0,2.0,1.0,54.0,2
332,Super built-up  Area,Akshaya Nagar,1690.0,3.0,2.0,85.0,3
333,Super built-up  Area,Akshaya Nagar,1113.0,2.0,1.0,52.0,2
334,Super built-up  Area,Akshaya Nagar,1820.0,4.0,2.0,95.0,3
335,Super built-up  Area,Akshaya Nagar,1100.0,2.0,2.0,48.0,2
336,Super built-up  Area,Akshaya Nagar,1896.0,3.0,2.0,102.0,3
337,Super built-up  Area,Akshaya Nagar,1300.0,2.0,2.0,66.0,2
338,Super built-up  Area,Akshaya Nagar,1225.0,2.0,0.0,68.0,2
339,Super built-up  Area,Akshaya Nagar,1179.0,2.0,1.0,51.0,2
340,Super built-up  Area,Akshaya Nagar,1421.0,2.0,2.0,73.0,3
341,Super built-up  Area,Akshaya Nagar,1893.0,4.0,2.0,95.0,3
342,Built-up  Area,Akshaya Nagar,900.0,2.0,1.0,45.0,2
343,Super built-up  Area,Ambalipura,1105.0,2.0,1.0,75.0,2
344,Super built-up  Area,Ambalipura,1800.0,3.0,3.0,110.0,3
345,Built-up  Area,Ambalipura,1150.0,2.0,2.0,80.0,2
346,Super built-up  Area,Ambalipura,1250.0,2.0,2.0,66.25,2
347,Super built-up  Area,Ambalipura,1332.0,2.0,1.0,79.0,2
348,Super built-up  Area,Ambalipura,1730.0,3.0,1.0,120.0,3
350,Super built-up  Area,Ambalipura,1230.0,2.0,2.0,66.25,2
351,Super built-up  Area,Ambalipura,1351.0,2.0,1.0,77.0,2
355,Super built-up  Area,Ambalipura,1303.0,2.0,2.0,80.0,2
356,Super built-up  Area,Ambalipura,1607.0,2.0,2.0,112.0,3
357,Super built-up  Area,Ambalipura,770.0,1.0,2.0,43.82,1
358,Super built-up  Area,Ambalipura,1700.0,2.0,2.0,76.0,2
359,Super built-up  Area,Ambalipura,1060.0,2.0,1.0,58.5,2
360,Built-up  Area,Ambalipura,1650.0,3.0,3.0,100.0,3
361,Super built-up  Area,Ambalipura,1607.0,2.0,2.0,112.0,3
362,Super built-up  Area,Ambalipura,1198.0,2.0,2.0,80.0,2
363,Super built-up  Area,Ambedkar Nagar,1935.0,4.0,2.0,130.0,3
364,Super built-up  Area,Ambedkar Nagar,1424.0,2.0,2.0,90.0,2
365,Super built-up  Area,Ambedkar Nagar,2225.0,4.0,2.0,169.0,3
366,Super built-up  Area,Ambedkar Nagar,1862.0,3.0,2.0,120.0,3
367,Super built-up  Area,Ambedkar Nagar,1850.0,4.0,3.0,139.0,3
368,Super built-up  Area,Ambedkar Nagar,1936.0,4.0,2.0,126.0,3
369,Super built-up  Area,Ambedkar Nagar,1862.0,3.0,2.0,119.0,3
370,Super built-up  Area,Ambedkar Nagar,1424.0,2.0,2.0,90.0,2
371,Super built-up  Area,Ambedkar Nagar,2150.0,4.0,2.0,125.0,3
372,Built-up  Area,Ambedkar Nagar,3530.0,4.0,2.0,290.0,4
373,Super built-up  Area,Ambedkar Nagar,1856.0,3.0,1.0,120.0,3
374,Super built-up  Area,Ambedkar Nagar,1852.0,3.0,2.0,130.0,3
375,Super built-up  Area,Ambedkar Nagar,1850.0,4.0,2.0,120.0,3
376,Super built-up  Area,Ambedkar Nagar,1367.0,2.0,2.0,86.0,2
377,Plot  Area,Ambedkar Nagar,3565.0,4.0,3.0,255.0,4
378,Super built-up  Area,Ambedkar Nagar,1409.0,2.0,2.0,95.0,2
379,Super built-up  Area,Ambedkar Nagar,1950.0,4.0,2.0,120.0,3
380,Super built-up  Area,Ambedkar Nagar,1921.0,4.0,3.0,129.0,3
381,Super built-up  Area,Ambedkar Nagar,1920.0,4.0,2.0,121.0,3
382,Super built-up  Area,Ambedkar Nagar,1935.0,4.0,2.0,125.0,3
383,Super built-up  Area,Ambedkar Nagar,1852.0,4.0,2.0,122.0,3
384,Super built-up  Area,Ambedkar Nagar,1950.0,4.0,2.0,120.0,3
385,Super built-up  Area,Ambedkar Nagar,1852.0,3.0,2.0,125.0,3
386,Super built-up  Area,Ambedkar Nagar,1850.0,4.0,2.0,121.0,3
387,Super built-up  Area,Ambedkar Nagar,1425.0,2.0,1.0,94.0,2
388,Built-up  Area,Ambedkar Nagar,2395.0,4.0,2.0,150.0,3
389,Super built-up  Area,Amruthahalli,900.0,2.0,1.0,40.0,2
390,Super built-up  Area,Amruthahalli,1200.0,2.0,2.0,55.0,2
391,Built-up  Area,Amruthahalli,1900.0,3.0,1.0,135.0,3
